,Tr,FCT_Ac_Tr_1@5,FCT_Ar_1@5,FCT_Bias_1@5,FCT_Br_1@5,FCT_Cmf_1@5,Amihud@5,Turnover,FCT_Donchian_Vol_Dfive,FCT_Dmi_Adxr@5,FCT_Dmi_Adx@5,FCT_Demark_Vol_Dfive,FCT_Demark_Ref_1@5,FCT_Demark_Atr_Dfive,FCT_Dbcd,FCT_Cr_Vol_Dfive,FCT_Cr_Ref_1,FCT_Cr_Atr_Dfive,FCT_Cr_1,FCT_Close_0_1,FCT_Close_1_1,FCT_Close_1_1_1,FCT_Cci@20
Tr,1.0,-0.003952954226169563,0.016287509008177718,0.005117418123423544,0.0063433567186567804,0.008165959003768096,-0.007703848862567768,0.0992312619597158,0.06210515994781513,0.013130851864978236,0.01216039159192369,0.04585901240398953,0.012871932400847913,0.040599856395188,-7.035995961076822e-05,0.008892514660784978,0.007259426059990913,0.007648493186931079,-0.000771543109995538,-0.000771543109995538,0.007259426059990913,0.014195497613587918,0.0210861408079578
FCT_Ac_Tr_1@5,-0.003952954226169563,1.0,0.5148508801349557,0.3904334058625217,0.6112189261809224,0.49374893455294,-0.00039413969994251796,0.007870097830847267,0.03584286396496071,0.016484578170474686,0.009632460242909254,0.05100254043661837,0.7114149391783405,0.0019477147503622375,-0.054559143458440214,-0.0015335648985196002,0.20387877968615115,0.004382987215690643,0.08091213710227543,0.08091213710227543,0.20387877968615115,0.2900560501263704,0.4570795044865343
FCT_Ar_1@5,0.016287509008177718,0.5148508801349557,1.0,0.635232166629985,0.7560557584048928,0.5217819439642182,0.011661020533742539,0.016450268533721703,0.04282504623869831,0.0013207483813583397,0.0069448119030000805,0.059607113060327184,0.5531261430483808,0.020851528406534228,0.12289074860355147,0.005398611219623185,0.2999838793032666,0.004415659087976163,0.3201057657209773,0.3201057657209773,0.2999838793032666,0.29461594934150226,0.5932236538184935
FCT_Bias_1@5,0.005117418123423544,0.3904334058625217,0.635232166629985,1.0,0.739708881938647,0.6217702141966956,-0.0007987852060663534,0.0162414327254132,0.03336852648914728,0.005145467098515187,0.006591527895204035,0.029667387430415082,0.38327146930189765,0.0005106197807944083,0.07442037031696773,0.0007873250449568901,0.46420934718535944,-0.0004640134836914065,0.6394958902138457,0.6394958902138457,0.46420934718535944,0.30909360141101666,0.6743401718649108
FCT_Br_1@5,0.0063433567186567804,0.6112189261809224,0.7560557584048928,0.739708881938647,1.0,0.4448500635875691,-0.005309403595961756,0.01644129848238471,0.03419233394566993,0.0025381349306679664,0.005604517255708513,0.03861983162637756,0.6700716152184495,-0.0003086868687128352,0.15334622267927575,-0.00048541308527677574,0.3455208511732301,0.003786044389063854,0.36037831828853056,0.36037831828853056,0.3455208511732301,0.3425536191639955,0.7159756518213429
FCT_Cmf_1@5,0.008165959003768096,0.49374893455294,0.5217819439642182,0.6217702141966956,0.4448500635875691,1.0,-0.00024199237449451955,0.02543939980451317,0.0375735726073577,0.011671392565373044,0.014506519544845052,0.04083728916870628,0.47359957966244626,0.014626155717760096,0.0931536252736501,0.004840285379290945,0.2928858998077596,0.010050118250323701,0.30805605359145793,0.30805605359145793,0.2928858998077596,0.29137679943776434,0.565052392298132
Amihud@5,-0.007703848862567768,-0.00039413969994251796,0.011661020533742539,-0.0007987852060663534,-0.005309403595961756,-0.00024199237449451955,1.0,-0.021752487123398962,-0.005224472105463058,-0.01026299102306533,-0.007370298851703435,0.0027631874348020857,-0.0007346603488594195,0.01863808839817272,0.0037479210503408283,0.0019510363113807415,0.001799197752745437,-0.052134974024063155,0.003721751231506456,0.003721751231506456,0.001799197752745437,-0.0009647075254240698,-0.006147393938139035
Turnover,0.0992312619597158,0.007870097830847267,0.016450268533721703,0.0162414327254132,0.01644129848238471,0.02543939980451317,-0.021752487123398962,1.0,0.16117450482623769,0.027036425041773303,0.018559082039980843,0.1415910103769575,0.021899823577335525,0.06599696275410692,0.008272917236695824,0.010314901051403981,0.010295216473280643,0.011778942754508737,0.00280997322219611,0.00280997322219611,0.010295216473280643,0.011992042730842627,0.037198456832075066
FCT_Donchian_Vol_Dfive,0.06210515994781513,0.03584286396496071,0.04282504623869831,0.03336852648914728,0.03419233394566993,0.0375735726073577,-0.005224472105463058,0.16117450482623769,1.0,0.008953676810114955,0.010391664231447583,0.6218299473502042,0.03161045354391569,0.08265332038951405,0.009679574917986862,0.06884450176344148,0.02490457954763121,0.0415109789340599,0.00568123662285637,0.00568123662285637,0.02490457954763121,0.023394664039484432,0.038405406642924446
FCT_Dmi_Adxr@5,0.013130851864978236,0.016484578170474686,0.0013207483813583397,0.005145467098515187,0.0025381349306679664,0.011671392565373044,-0.01026299102306533,0.027036425041773303,0.008953676810114955,1.0,0.7397011471779774,0.028480293667187975,0.01059615906989409,0.07930571402555717,-0.013056121198533945,-0.005150195851849112,0.0016769878174258653,-0.002622927053529271,0.0011890934823028175,0.0011890934823028175,0.0016769878174258653,0.0019612263625803936,-0.005297280617193023
