date,FCT_Cr_Atr_Dfive
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,-0.02242569293029764
2015-04-14,0.09352939310301069
2015-04-15,0.13455993162538807
2015-04-16,0.13700474321829806
2015-04-17,0.1754663347236792
2015-04-20,-0.04517289165958409
2015-04-21,-0.06308741616460156
2015-04-22,-0.15926302296846312
2015-04-23,-0.12517463054724848
2015-04-24,0.09521282398275827
2015-04-27,0.35646888343178246
2015-04-28,0.16664880114765054
2015-04-29,0.4305243445692884
2015-04-30,0.4600341841541672
2015-05-04,-0.013782592163611884
2015-05-05,-0.3154549774293181
2015-05-06,-0.09779775109212009
2015-05-07,-0.2567831041604417
2015-05-08,-0.4463115211433755
2015-05-11,-0.07176852075850904
2015-05-12,0.06070016939582157
2015-05-13,-0.07268249354005168
2015-05-14,0.025420036504261105
2015-05-15,-0.002824309433193506
2015-05-18,-0.10317964945486091
2015-05-19,-0.10686622794246113
2015-05-20,0.09631658075601374
2015-05-21,-0.21649748336736874
2015-05-22,0.42228570934508214
2015-05-25,0.16544386773011122
2015-05-26,0.04051558585118181
2015-05-27,-0.14958525891693328
2015-05-28,0.1264721165094764
2015-05-29,-0.5469853680438269
2015-06-01,-0.1431543720301078
2015-06-02,0.14756950123018042
2015-06-03,0.10543039500987537
2015-06-04,0.10006272432880048
2015-06-05,0.054233824607681946
2015-06-08,0.16313477088291217
2015-06-09,-0.29091160541701566
2015-06-10,-0.09978951796940208
2015-06-11,-0.2089080045996539
2015-06-12,0.489156118371604
2015-06-15,-0.1591264614063243
2015-06-16,0.303841327003878
2015-06-17,0.13574580868872496
2015-06-18,0.1634434420026753
2015-06-19,-0.5278668473557546
2015-06-23,0.052020660517756084
2015-06-24,-0.29657115814834384
2015-06-25,-0.07989243285563719
2015-06-26,0.16655284635100728
2015-06-29,0.5047982866570948
2015-06-30,0.11153586967337206
2015-07-01,0.33803629226637755
2015-07-02,0.10231812447435108
2015-07-03,-0.14270100438462724
2015-07-06,-0.3142131645769488
2015-07-07,0.0032902550150064047
2015-07-08,-0.3368582688786011
2015-07-09,0.583772597392895
2015-07-10,-0.04855959234363552
2015-07-13,-0.017828230071161615
2015-07-14,-0.14317030417181087
2015-07-15,0.265873258663508
2015-07-16,-0.9866451379677439
2015-07-17,-0.05831824424209005
2015-07-20,-0.15432586032316534
2015-07-21,0.10995361055543326
2015-07-22,-0.054638694638693794
2015-07-23,0.19420384138785657
2015-07-24,0.15694599491243028
2015-07-27,0.2788308945900224
2015-07-28,-0.08666773133475766
2015-07-29,-0.19156708270632367
2015-07-30,0.1408333333333331
2015-07-31,-0.1503719345944987
2015-08-03,-0.027509741275514005
2015-08-04,-0.04951401351367493
2015-08-05,0.12648700149721054
2015-08-06,-0.08524590163934316
2015-08-07,0.059339692753458954
2015-08-10,-0.17064677124429578
2015-08-11,0.20406469797950597
2015-08-12,0.16887366232966297
2015-08-13,0.14839289956894886
2015-08-14,0.012479074545224837
2015-08-17,-0.02351559644082822
2015-08-18,-0.14120939828187634
2015-08-19,-0.31881809024144037
2015-08-20,-0.025014877493692973
2015-08-21,-0.00046766643363359154
2015-08-24,0.42148141042613113
2015-08-25,0.17252382512478112
2015-08-26,0.22631442402526358
2015-08-27,-0.034073678877470745
2015-08-28,0.10102268891082362
2015-08-31,-0.35813318983422476
2015-09-01,-0.3157099325356394
2015-09-02,-0.14396189408798038
2015-09-07,-0.11471834003560079
2015-09-08,-0.20621587800799573
2015-09-09,0.010801666526856976
2015-09-10,0.16807999053169953
2015-09-11,0.12893369619000541
2015-09-14,0.1946293641260148
2015-09-15,0.05109653353913447
2015-09-16,0.0433609200614741
2015-09-17,-0.07481279387009057
2015-09-18,-0.1387956536579831
2015-09-21,-0.054470940575108394
2015-09-22,0.027287891628661624
2015-09-23,-0.16662486733254867
2015-09-24,0.031869400318809825
2015-09-25,0.181980677755784
2015-09-28,-0.24777263674887334
2015-09-29,0.21699599350029503
2015-09-30,0.20845026130570166
2015-10-08,0.11236462652391471
2015-10-09,0.05166735652455627
2015-10-12,0.4211312545322655
2015-10-13,-0.23539603705874623
2015-10-14,-0.06912989241307418
2015-10-15,-0.03885551068649848
2015-10-16,-0.27744138420356745
2015-10-19,-0.2688542734166808
2015-10-20,-0.006399801511287807
2015-10-21,0.011631263103462752
2015-10-22,0.029679349121539092
2015-10-23,0.20239171749992446
2015-10-26,0.06454364218744915
2015-10-27,0.015676252188439925
2015-10-28,0.01788008252719947
2015-10-29,-0.16078133192194527
2015-10-30,0.06854044666807736
2015-11-02,-0.08691175463232798
2015-11-03,0.04155643816739326
2015-11-04,0.030352177942542084
2015-11-05,0.24294836554319788
2015-11-06,-0.26670810045728066
2015-11-09,0.16830254707965608
2015-11-10,0.09787310869397364
2015-11-11,-0.03278316172017026
2015-11-12,-0.2768522280915626
2015-11-13,0.15284914361000973
2015-11-16,-0.16017504553140222
2015-11-17,0.06044676206531531
2015-11-18,0.10088991646127152
2015-11-19,0.20619235836627325
2015-11-20,-0.029086641058468254
2015-11-23,0.4736026703661185
2015-11-24,-0.20041102062795813
2015-11-25,0.085265401271898
2015-11-26,0.19378821724316697
2015-11-27,0.11848058045240845
2015-11-30,-0.5387906295974193
2015-12-01,-0.012397285646932911
2015-12-02,-0.2808555583990636
2015-12-03,-0.44377185491579174
2015-12-04,-0.27299675041610416
2015-12-07,0.1433401949523262
2015-12-08,0.1268706612040515
2015-12-09,0.0338403433174717
