quantile_layer,min,max,count,avg_profit
0,0.0,0.0283018867924528,1088,-9.38361106328267
1,0.028391167192429,0.1617548941433011,2862,-6.7305270692818855
2,0.1617647058823529,0.3213959819892594,7155,-4.43994541407646
3,0.3213974794793134,0.4491331107445995,10016,-1.8334102849376692
4,0.4491385942000465,0.6686362243334355,21464,-2.1671633332184066
5,0.6686388371498484,0.977512338670436,28619,-0.9694168391720747
6,0.9775273383941412,1.438694402164722,28619,0.892780309832528
7,1.4387007273955223,2.116557961302876,21464,4.0299676190838944
8,2.1167922727337483,2.8758221442707654,10016,3.836059830074986
9,2.876070662683851,4.76403797279115,7155,2.535421544184373
10,4.764702206112118,7.916011915264616,2862,-6.258356013842072
11,7.916340852130326,222.22222222222223,1431,4.452764180978261
