quantile_layer,min,max,count,avg_profit
0,-0.2011739594450373,-0.042540443379269,1431,-440.6934526161997
1,-0.0425114453891431,-0.0287271964772489,2862,-287.97415858403235
2,-0.0287221570926141,-0.0176449405833632,7155,-193.95617454812717
3,-0.0176427346238666,-0.01125,10016,-124.63748738213836
4,-0.0112485939257593,-0.0045425048669694,21464,-64.71219720462055
5,-0.0045423956931358,0.0,29055,-18.640387658275078
6,1.1314769189406346e-16,0.0048407643312101,28129,17.31672950096371
7,0.0048410521219943,0.011558021266759,21464,64.15155441312457
8,0.011558538404176,0.0180757316009503,10016,124.28499046680105
9,0.0180766449746926,0.0292081350064906,7155,195.72590440708777
10,0.029208301306687,0.043039842597147,2862,296.68623102008974
11,0.0430410297666933,0.1699663476246665,1431,464.35527846226637
