quantile_layer,min,max,count,avg_profit
0,-0.2965440356744735,-0.239462985170668,1133,1.08665427082719
1,-0.2394607843137298,-0.2149106649475085,2266,-0.03556609113797553
2,-0.2149078966157418,-0.1734426229508297,5664,-0.06180264748964387
3,-0.1734386786834467,-0.1294080867442299,7930,0.8794007929772135
4,-0.1294008742913952,-0.0587085273992347,16993,0.21028286300540036
5,-0.0586983245310494,0.0135867804298522,22657,-0.7311609593458808
6,0.0135873438168129,0.0812338346584957,22657,-1.3539014383720611
7,0.0812340270171582,0.1413118752780262,16993,-0.09856221501517864
8,0.1413154487627984,0.1761054691297001,7930,2.8080090138758425
9,0.1761170106191112,0.2085756950863965,5664,3.3446775437075456
10,0.2085762232821033,0.2319025591733698,2266,-0.1916881431654077
11,0.2319518962763888,1.0,1133,-2.8240115090342934
