quantile_layer,min,max,count,avg_profit
0,-871.0407227109108,-1.908032313496522,1431,-3.4675767146137733
1,-1.9077408289311903,-1.1421310019346738,2862,-7.076592204622172
2,-1.1420792375203692,-0.7041302019640018,7155,-3.070015370063479
3,-0.7041300828000223,-0.4677446917337119,10016,-1.6164245174385838
4,-0.467729576371422,-0.2154365704066514,21464,-0.9524696829738785
5,-0.2154360325028332,0.0,28068,-0.008922422725954346
6,9.265346140319153e-08,0.2131008697272036,27386,0.4001205799177037
7,0.2131255261271709,0.468602200679088,21464,-3.4391628090271973
8,0.4686438399159026,0.7054186110824281,10016,-1.3485323932106594
9,0.7054193999880398,1.1548275890135502,7155,5.362778694579308
10,1.1549525327861418,1.9025,2862,26.237311571619887
11,1.9029544266319396,799.0321428571428,1431,32.79888178223715
