quantile_layer,min,max,count,avg_profit
0,0.0,0.1028993210699411,1174,-10.700034483915928
1,0.1030269466801172,0.2475264520704172,2347,-0.134861554885068
2,0.2477550806398341,6.847391614721801,5869,-0.8194798909784439
3,6.850128930596412,19.716967851620893,8216,-4.249936434959756
4,19.717181126519336,40.147012247278326,17604,1.725121037537989
5,40.147012247279235,70.14158964849594,23474,0.6025071247813386
6,70.14314645406466,119.76050961450528,23473,0.17334687450449007
7,119.76228393862584,210.02654586805147,17605,-0.41796405765281175
8,210.02654586805875,353.4967570604131,8216,0.30703499453722
9,353.5480763613559,1808.6232950103297,5868,0.9409969921744994
10,1809.3439939756065,3618.93201653281,2347,0.29341314004828645
11,3619.825900759664,8264.618490812485,1174,2.2619405462336677
