date,FCT_Dbcd
2014-02-28,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-28,-0.001296270946892747
2014-04-29,-0.002891232997171505
2014-04-30,-0.004282471896542227
2014-05-05,-0.005295216490990033
2014-05-06,-0.005659059777765306
2014-05-07,-0.005474552348726639
2014-05-08,-0.005077676747796712
2014-05-09,-0.004707755995939382
2014-05-12,-0.0045534064256266965
2014-05-13,-0.0046485532012867795
2014-05-14,-0.005120740620635252
2014-05-15,-0.005622727468451246
2014-05-16,-0.006062010350180117
2014-05-19,-0.006346484074819005
2014-05-20,-0.006442922414134533
2014-05-21,-0.006059600776737179
2014-05-22,-0.005099558508385225
2014-05-23,-0.0035809937714131835
2014-05-26,-0.0017099911045343364
2014-05-27,-5.02563218883369e-05
2014-05-28,0.0009478700417020907
2014-05-29,0.00110457921104007
2014-05-30,0.0006774646415457881
2014-06-03,0.0001260386795995268
2014-06-04,6.249689993700823e-05
2014-06-05,0.0005246396251102497
2014-06-06,0.0014785694630967874
2014-06-09,0.0027289685281985257
2014-06-10,0.004125732192166685
2014-06-11,0.00549259283701606
2014-06-12,0.006745777952041928
2014-06-13,0.007780203104280297
2014-06-16,0.008258355317323385
2014-06-17,0.0076825632069792895
2014-06-18,0.006230017415148401
2014-06-19,0.004398157424856974
2014-06-20,0.002802481316022293
2014-06-23,0.0014951907108708951
2014-06-24,0.0007500978092898224
2014-06-25,0.0002843934225131823
2014-06-26,-0.00034921177058912716
2014-06-27,-0.00146735870494178
2014-06-30,-0.0026071019663956117
2014-07-01,-0.003486130363726613
2014-07-02,-0.004226872353755619
2014-07-03,-0.004875187546493145
2014-07-04,-0.005420677168711757
2014-07-07,-0.005975269362322984
2014-07-08,-0.006750105407066331
2014-07-09,-0.007236946980326284
2014-07-10,-0.007051728753004249
2014-07-11,-0.006325018660249862
2014-07-14,-0.0054091402155668905
2014-07-15,-0.0042081030075164704
2014-07-16,-0.0026722329447064334
2014-07-17,-0.0012417105125545032
2014-07-18,2.5897874862174444e-05
2014-07-21,0.001287293914651423
2014-07-22,0.002239516864245727
2014-07-23,0.0025250762972179094
2014-07-24,0.0021986589809814823
2014-07-25,0.0017433511184888717
2014-07-28,0.0012621046657365464
2014-07-29,0.0008870581369868644
2014-07-30,0.0007808748239781452
2014-07-31,0.0011603074826279664
2014-08-01,0.001447025999709108
2014-08-04,0.001640586056956475
2014-08-05,0.0015895778980677636
2014-08-06,0.0014024359301950113
2014-08-07,0.0007242930160800334
2014-08-08,-0.0001761972925130818
2014-08-11,-0.000943901901665048
2014-08-12,-0.0014658508507888427
2014-08-13,-0.0018115098250773578
2014-08-14,-0.0017548489453779494
2014-08-15,-0.0013095568645635086
2014-08-18,-0.0008734453515470338
2014-08-19,-0.0005436332779536316
2014-08-20,-0.00047356081986269383
2014-08-21,-0.0004822435415169574
2014-08-22,-0.0006870387896110374
2014-08-25,-0.0009485761993783656
2014-08-26,-0.0010801251060480826
2014-08-27,-0.0009400697323844416
2014-08-28,-0.0006847789337503802
2014-08-29,-0.00042546421697764014
2014-09-01,-0.00010296192274638831
2014-09-02,0.00018617940288625351
2014-09-03,0.00035519836418542925
2014-09-04,0.0005905236301315558
2014-09-05,0.0008113435058716182
2014-09-09,0.0008848485640246817
2014-09-10,0.0006962862221800986
2014-09-11,0.0003674988126461423
2014-09-12,-0.00013728746132319852
2014-09-15,-0.0005925089905457345
2014-09-16,-0.0010228374994021734
2014-09-17,-0.0013572240795157483
2014-09-18,-0.0017909374700328094
2014-09-19,-0.0023748299075876203
2014-09-22,-0.0032731121284597098
2014-09-23,-0.0042209456882200454
2014-09-24,-0.004928639202479939
2014-09-25,-0.0053759013445966175
2014-09-26,-0.005629380942104108
2014-09-29,-0.0056289905423631825
2014-09-30,-0.005507679502470396
2014-10-08,-0.0055667606313947685
2014-10-09,-0.005510100774811023
2014-10-10,-0.005616746508010416
2014-10-13,-0.0056442798869547044
2014-10-14,-0.005585811905469076
2014-10-15,-0.005283028161710783
2014-10-16,-0.005052303413667353
2014-10-17,-0.004797802400894491
2014-10-20,-0.0046745607117266285
2014-10-21,-0.004535982160207378
2014-10-22,-0.004225151136156962
2014-10-23,-0.0036732833966487237
2014-10-24,-0.00278042471730064
2014-10-27,-0.0017353837965878194
2014-10-28,-0.0007884107130053617
2014-10-29,-0.0001655257685405415
2014-10-30,0.0003146676849614109
2014-10-31,0.0010027961355419189
2014-11-03,0.002109846526819822
2014-11-04,0.0036353827712476763
2014-11-05,0.004985759984481765
2014-11-06,0.0060951818950567465
2014-11-07,0.0068972491714044595
2014-11-10,0.007710125767387319
2014-11-11,0.008569029956760267
2014-11-12,0.009944740694319021
2014-11-13,0.011401854126058618
2014-11-14,0.012283560007229806
2014-11-17,0.012047123343666335
2014-11-18,0.010753993416324418
2014-11-19,0.00875149152037014
2014-11-20,0.006367165167498473
2014-11-21,0.004275812274763297
2014-11-24,0.0023241570295217313
2014-11-25,0.0006830362802753032
