date,FCT_Donchian_Vol_Dfive
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,1.0
2020-10-19,1.0
2020-10-20,0.9390852159132864
2020-10-21,0.26150945034491896
2020-10-22,0.6434460948499109
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.6633892127602206
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.008850669071105908
2020-11-06,0.47665316412540765
2020-11-09,0.0
2020-11-10,1.0
2020-11-11,0.3531693201447952
2020-11-12,0.2282174568420126
2020-11-13,0.086497518897092
2020-11-16,0.03943366796947926
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.6230911515464361
2020-11-23,0.05979787173069943
2020-11-24,1.0
2020-11-25,0.6345311436499764
2020-11-26,0.0
2020-11-27,0.0
2020-11-30,0.5134459403941638
2020-12-01,0.0
2020-12-02,0.6912490395287287
2020-12-03,0.7758388115768804
2020-12-04,1.0
2020-12-07,1.0
2020-12-08,0.8049027072230058
2020-12-09,0.23616044701656355
2020-12-10,0.0
2020-12-11,0.43964469719062893
2020-12-14,1.0
2020-12-15,0.12491606106277886
2020-12-16,0.0
2020-12-17,0.163482621124793
2020-12-18,0.32420830596441885
2020-12-21,0.4861372322999454
2020-12-22,1.0
2020-12-23,0.4323045860974906
2020-12-24,0.0
2020-12-25,0.6260138699133563
2020-12-28,0.5121837331165799
2020-12-29,0.6608374190503657
2020-12-30,0.8522017791038179
2020-12-31,1.0
2021-01-04,0.015682992995289705
2021-01-05,1.0
2021-01-06,0.7303867949597385
2021-01-07,0.5294931929278135
2021-01-08,0.5985959448018441
2021-01-11,0.8444231375433435
2021-01-12,0.0
2021-01-13,0.318225240559975
2021-01-14,0.21762427484628477
2021-01-15,0.15042380241081044
2021-01-18,0.0
2021-01-19,1.0
2021-01-20,0.0
2021-01-21,0.30858886012566694
2021-01-22,0.5734130601232362
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.06402051972951266
2021-01-28,0.21049563437572869
2021-01-29,1.0
2021-02-01,1.0
2021-02-02,0.9519142700128229
2021-02-03,1.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,1.0
2021-02-09,0.6306121543037244
2021-02-10,0.2939317263727971
2021-02-18,0.7695298974563857
2021-02-19,1.0
2021-02-22,1.0
2021-02-23,1.0
2021-02-24,0.5700749640649474
