underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
CU,2010-03-19,CU1006,105926.91480977421,106885.20822571118,107346.60875931047,105767.19924045137,0,253090.0,105660.72219423616,106636.76178454234,106157.61507657386,167392.0,109334.18028866123,102963.30369011726,59690.0
CU,2010-03-22,CU1006,105589.73749675935,105642.97601986695,106299.58447152747,105430.02192743652,0,194780.0,106885.20822571118,105820.43776355899,106636.76178454234,165088.0,109831.07317099892,103424.70422371654,59500.0
CU,2010-03-23,CU1006,106441.5538664811,105696.21454297457,106796.47735386516,105607.48367112855,0,205702.0,105642.97601986695,106210.85359968146,105820.43776355899,159160.0,108979.25680127717,102643.8725514716,59980.0
CU,2010-03-24,CU1006,105802.69158918978,105234.81400937529,106281.83829715828,104755.6673014068,0,200252.0,105696.21454297457,105554.24514802094,106210.85359968146,159834.0,109387.41881176885,103016.54221322488,59620.0
CU,2010-03-25,CU1006,105234.81400937529,105270.30635811368,105447.76810180572,104524.96703460715,0,192820.0,105234.81400937529,104986.36756820643,105554.24514802094,146366.0,108713.06418573912,102377.67993593356,59300.0
CU,2010-03-26,CU1006,105323.5448812213,106760.98500512676,106796.47735386516,105004.11374257563,0,156490.0,105270.30635811368,106068.88420472783,104986.36756820643,127592.0,108127.44043155541,101827.54853048826,59350.0
CU,2010-03-29,CU1007,107964.1250416446,109874.99451140822,110193.47275636882,107928.7385699823,0,347136.0,106760.98500512676,109308.8109648116,106159.41498686784,204688.0,110193.47275636882,107928.7385699823,61020.0
CU,2010-03-30,CU1007,109698.06215309678,109786.52833225249,110547.33747299171,109344.19743647387,0,383356.0,109874.99451140822,109945.76745473279,109308.8109648116,214646.0,112582.05959357334,106017.86910021868,62000.0
CU,2010-03-31,CU1007,110582.723944654,109043.41242734442,110706.57659547201,108990.33271985098,0,325470.0,109786.52833225249,109644.98244560334,109945.76745473279,205386.0,113236.7093193257,106637.13235430875,62500.0
CU,2010-04-01,CU1007,109361.89067230502,110618.1104163163,111113.52101958834,109167.26507816243,0,342966.0,109043.41242734442,110370.40511468027,109644.98244560334,229444.0,112918.23107436509,106354.04058101043,61810.0
