underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
AL,2010-01-25,AL1004,14660.408065389194,14746.166521460498,14831.9249775318,14544.634149692936,0,24468.0,14630.392605764238,14690.423525014152,14707.575216228412,101060.0,15144.943342192055,14265.919167461203,17095.0
AL,2010-01-26,AL1004,14763.318212674758,14557.497918103632,14793.333672299714,14553.209995300067,0,15244.0,14746.166521460498,14677.559756603456,14690.423525014152,99426.0,15127.791650977795,14248.767476246941,17215.0
AL,2010-01-27,AL1005,14629.796330200554,14591.520700266889,14676.577655675032,14536.233679251596,0,130144.0,14557.497918103632,14612.784939118925,14685.083351215846,112064.0,15123.126671567781,14242.787183093504,17200.0
AL,2010-01-28,AL1005,14221.52294424147,14000.374860180298,14264.05142194554,13953.593534705818,0,246752.0,14591.520700266889,14093.937511129254,14612.784939118925,115150.0,15050.82825947086,13953.593534705818,16720.0
AL,2010-01-29,AL1005,13753.709689496683,13728.19260287424,13868.536579297675,13626.12425638447,0,216634.0,14000.374860180298,13766.468232807905,14093.937511129254,108346.0,14514.969440399562,13626.12425638447,16170.0
AL,2010-02-01,AL1005,13787.73247165994,13902.559361460933,13919.570752542562,13553.825844287549,0,365148.0,13728.19260287424,13766.468232807905,13766.468232807905,117644.0,14178.994466537397,13349.689151308005,16210.0
AL,2010-02-02,AL1005,13957.846382476226,13923.82360031297,14025.89194680274,13817.50240605279,0,195952.0,13902.559361460933,13902.559361460933,13766.468232807905,107990.0,14178.994466537397,13349.689151308005,16410.0
AL,2010-02-03,AL1005,14055.66188119559,14242.787183093504,14251.292878634318,13966.35207801704,0,265786.0,13923.82360031297,14127.960293292512,13902.559361460933,112130.0,14319.338442960832,13481.527432190627,16525.0
AL,2010-02-04,AL1005,13949.340686935411,14051.409033425183,14157.73022768536,13864.283731527268,0,205216.0,14242.787183093504,14021.639099032333,14127.960293292512,107566.0,14548.992222562818,13702.675516251798,16400.0
AL,2010-02-05,AL1005,13736.698298415055,13847.272340445641,13868.536579297675,13719.686907333426,0,182194.0,14051.409033425183,13800.491014971161,14021.639099032333,105306.0,14438.418180532233,13600.607169762026,16150.0
AL,2010-02-08,AL1005,13864.283731527268,13868.536579297675,13940.834991394597,13779.226776119127,0,130992.0,13847.272340445641,13847.272340445641,13800.491014971161,104850.0,14213.017248700655,13383.711933471262,16300.0
AL,2010-02-09,AL1005,13847.272340445641,14004.627707950704,14021.639099032333,13808.996710511976,0,140462.0,13868.536579297675,13932.329295853782,13847.272340445641,108500.0,14259.798574175133,13430.49325894574,16280.0
AL,2010-02-10,AL1005,14127.960293292512,14136.465988833326,14191.753009848619,14051.409033425183,0,83172.0,14004.627707950704,14115.20174998129,13932.329295853782,102576.0,14349.108377353683,13511.297366583476,16610.0
AL,2010-02-11,AL1005,14119.454597751697,14153.477379914953,14285.315660797576,14115.20174998129,0,67278.0,14136.465988833326,14187.500162078211,14115.20174998129,102154.0,14536.233679251596,13689.916972940577,16600.0
AL,2010-02-12,AL1005,14196.005857619026,14310.832747420018,14400.142550598568,14119.454597751697,0,72272.0,14153.477379914953,14310.832747420018,14187.500162078211,97864.0,14612.784939118925,13757.96253726709,16690.0
AL,2010-02-22,AL1005,14872.208653113761,14442.67102830264,14872.208653113761,14374.625463976125,0,63050.0,14310.832747420018,14502.21089708834,14310.832747420018,98560.0,14872.208653113761,14374.625463976125,17485.0
AL,2010-02-23,AL1005,14455.42957161386,14472.44096269549,14531.980831481189,14408.648246139383,0,61102.0,14442.67102830264,14489.452353777118,14502.21089708834,104384.0,14936.001369669868,14064.167576736405,16995.0
AL,2010-02-24,AL1005,14289.568508567983,14315.085595190425,14395.88970282816,14272.557117486354,0,41798.0,14472.44096269549,14349.108377353683,14489.452353777118,98802.0,14923.242826358646,14051.409033425183,16800.0
AL,2010-02-25,AL1005,14332.096986272054,14323.59129073124,14434.165332761826,14281.062813027169,0,42188.0,14315.085595190425,14353.36122512409,14349.108377353683,96294.0,14778.646002164804,13915.317904772155,16850.0
AL,2010-02-26,AL1005,14238.534335323096,14230.028639782282,14323.59129073124,14213.017248700655,0,24018.0,14323.59129073124,14259.798574175133,14353.36122512409,96512.0,14782.89884993521,13919.570752542562,16740.0
AL,2010-03-01,AL1005,14451.176723843453,14327.844138501647,14519.222288169967,14276.809965256762,0,21840.0,14230.028639782282,14361.866920664905,14259.798574175133,92016.0,14685.083351215846,13830.260949364012,16990.0
AL,2010-03-02,AL1005,14323.59129073124,14076.926120047625,14323.59129073124,14072.67327227722,0,11246.0,14327.844138501647,14208.764400930248,14361.866920664905,90918.0,14791.404545476025,13928.076448083377,16840.0
AL,2010-03-03,AL1005,14196.005857619026,14187.500162078211,14242.787183093504,14166.235923226175,0,9432.0,14076.926120047625,14196.005857619026,14208.764400930248,88482.0,14634.049177970961,13779.226776119127,16690.0
AL,2010-03-04,AL1005,14272.557117486354,14191.753009848619,14281.062813027169,14153.477379914953,0,10502.0,14187.500162078211,14221.52294424147,14196.005857619026,88394.0,14621.29063465974,13766.468232807905,16780.0
AL,2010-03-05,AL1005,14213.017248700655,14230.028639782282,14251.292878634318,14178.994466537397,0,11898.0,14191.753009848619,14221.52294424147,14221.52294424147,83996.0,14646.807721282183,13791.985319430347,16710.0
AL,2010-03-08,AL1006,14272.154242623556,14385.893370294996,14436.444093704524,14242.666320634666,0,139822.0,14230.028639782282,14356.405448306105,14217.3909589299,115550.0,14642.859547626766,13787.709809948909,16940.0
AL,2010-03-09,AL1006,14331.130086601339,14267.94168233943,14331.130086601339,14234.24120006641,0,71682.0,14385.893370294996,14289.004483760065,14356.405448306105,113194.0,14786.086597287096,13922.511739040983,17010.0
AL,2010-03-10,AL1006,14318.492405748957,14377.46824972674,14423.806412852142,14293.217044044193,0,89756.0,14267.94168233943,14369.043129158486,14289.004483760065,114720.0,14714.47307245693,13859.323334779074,16995.0
