order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
A99,A,0.0,豆一指数连续,0.06999999999999999,0000-00-00,Future,a2205,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,油脂,0000-00-00,,0000-00-00,0000-00-00
AG1501,AG,0.0,白银1501,0.04,2015-01-15,Future,ag1501,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-01-16,贵金属,2015-01-15,null,2015-01-16,2015-01-22
AG1502,AG,0.0,白银1502,0.04,2015-02-10,Future,ag1502,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-02-18,贵金属,2015-02-10,null,2015-02-11,2015-02-17
AG1503,AG,0.0,白银1503,0.04,2015-03-16,Future,ag1503,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-03-18,贵金属,2015-03-16,null,2015-03-17,2015-03-23
AG1504,AG,0.0,白银1504,0.04,2015-04-15,Future,ag1504,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-04-16,贵金属,2015-04-15,null,2015-04-16,2015-04-22
AG1505,AG,0.0,白银1505,0.04,2015-05-15,Future,ag1505,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-05-16,贵金属,2015-05-15,null,2015-05-18,2015-05-22
AG1506,AG,0.0,白银1506,0.04,2015-06-15,Future,ag1506,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-06-17,贵金属,2015-06-15,null,2015-06-16,2015-06-23
AG1507,AG,0.0,白银1507,0.04,2015-07-15,Future,ag1507,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-07-16,贵金属,2015-07-15,null,2015-07-16,2015-07-22
AG1508,AG,0.0,白银1508,0.04,2015-08-17,Future,ag1508,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-08-18,贵金属,2015-08-17,null,2015-08-18,2015-08-24
AG1509,AG,0.0,白银1509,0.04,2015-09-15,Future,ag1509,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-09-16,贵金属,2015-09-15,null,2015-09-16,2015-09-22
AG1510,AG,0.0,白银1510,0.04,2015-10-15,Future,ag1510,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-10-16,贵金属,2015-10-15,null,2015-10-16,2015-10-22
AG1511,AG,0.0,白银1511,0.04,2015-11-16,Future,ag1511,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-11-18,贵金属,2015-11-16,null,2015-11-17,2015-11-23
AG1512,AG,0.0,白银1512,0.04,2015-12-15,Future,ag1512,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-12-16,贵金属,2015-12-15,null,2015-12-16,2015-12-22
AG88,AG,0.0,ag主力连续,0.13,0000-00-00,Future,AG2506,SHFE,Commodity,15.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
