date,Tr
2012-12-28,
2012-12-31,63.0
2013-01-04,64.0
2013-01-07,97.0
2013-01-08,62.0
2013-01-09,42.0
2013-01-10,31.0
2013-01-11,63.0
2013-01-14,43.0
2013-01-15,77.0
2013-01-16,53.0
2013-01-17,47.0
2013-01-18,51.0
2013-01-21,29.0
2013-01-22,22.0
2013-01-23,31.0
2013-01-24,90.0
2013-01-25,25.0
2013-01-28,40.0
2013-01-29,22.0
2013-01-30,23.0
2013-01-31,19.0
2013-02-01,60.0
2013-02-04,59.0
2013-02-05,65.0
2013-02-06,33.0
2013-02-07,23.0
2013-02-08,35.0
2013-02-18,54.0
2013-02-19,87.26081682167387
2013-02-20,21.815204205418468
2013-02-21,69.60088960776375
2013-02-22,76.87262434290324
2013-02-25,78.95026283865764
2013-02-26,58.17387788111637
2013-02-27,45.708046906591335
2013-02-28,55.05742013748477
2013-03-01,41.55276991508299
2013-03-04,34.2810351799435
2013-03-05,35.3198544278207
2013-03-06,47.78568540234528
2013-03-07,21.815204205418468
2013-03-08,19.737565709664523
2013-03-11,59.21269712899311
2013-03-12,40.51395066720579
2013-03-13,48.82450465022248
2013-03-14,50.902143145976424
2013-03-15,32.2033966841891
2013-03-18,82.06672058228878
2013-03-19,28.048119692680757
2013-03-20,20.776384957541268
2013-03-21,32.2033966841891
2013-03-22,39.475131419329045
2013-03-25,27.009300444804012
2013-03-26,20.776384957541723
2013-03-27,22.854023453295667
2013-03-28,46.746866154468535
2013-03-29,49.86332389809968
2013-04-01,47.785685402345734
2013-04-02,28.048119692680757
2013-04-03,37.397492923574646
2013-04-08,54.018600889608024
2013-04-09,23.892842701172412
2013-04-10,25.970481196926812
2013-04-11,20.776384957541268
2013-04-12,41.55276991508299
2013-04-15,39.47513141932859
2013-04-16,65.44561261625586
2013-04-17,42.591589162959735
2013-04-18,28.04811969268121
2013-04-19,30.125758188435157
2013-04-22,40.51395066720579
2013-04-23,36.3586736756979
2013-04-24,61.29033562474706
2013-04-25,32.2033966841891
2013-04-26,39.475131419329045
2013-05-02,35.3198544278207
2013-05-03,42.591589162959735
2013-05-06,22.854023453295667
2013-05-07,24.931661949049158
2013-05-08,24.931661949049612
2013-05-09,20.776384957541268
2013-05-10,17.659927213910123
2013-05-13,33.2422159320663
2013-05-14,19.737565709664068
2013-05-15,37.397492923574646
2013-05-16,28.04811969268121
2013-05-17,18.698746461787323
2013-05-20,19.737565709664523
2013-05-21,23.892842701172412
2013-05-22,15.582288718156178
2013-05-23,27.009300444804012
2013-05-24,38.43631217145139
2013-05-27,31.164577436312356
2013-05-28,13.504650222402233
2013-05-29,46.74686615446808
2013-05-30,28.048119692680757
2013-05-31,33.961939145750875
2013-06-03,64.52768437692703
2013-06-04,28.301615954792396
2013-06-05,82.64071858799434
2013-06-06,39.622262336709355
2013-06-07,54.339102633201946
2013-06-13,58.86736118596855
2013-06-14,47.546714804051135
2013-06-17,67.9238782915022
2013-06-18,38.49019769851793
2013-06-19,31.697809869367575
2013-06-20,36.226068422134176
2013-06-21,58.86736118596855
2013-06-24,45.28258552766829
2013-06-25,49.81084408043489
2013-06-26,31.69780986936803
2013-06-27,22.641292763833917
2013-06-28,36.22606842213463
2013-07-01,38.49019769851793
2013-07-02,64.52768437692703
2013-07-03,35.09400378394275
2013-07-04,28.30161595479285
2013-07-05,21.509228125642494
2013-07-08,47.54671480405159
2013-07-09,64.52768437692703
2013-07-10,27.169551316600973
2013-07-11,38.49019769851748
2013-07-12,33.961939145750875
2013-07-15,31.697809869367575
2013-07-16,29.433680592984274
2013-07-17,30.56574523117615
2013-07-18,30.565745231175697
2013-07-19,50.94290871862677
2013-07-22,38.49019769851793
2013-07-23,59.999425824160426
2013-07-24,32.829874507559
2013-07-25,30.565745231175697
2013-07-26,97.35755888448693
2013-07-29,23.773357402025795
2013-07-30,22.641292763833917
2013-07-31,33.961939145750875
2013-08-01,20.377163487450616
2013-08-02,31.69780986936803
2013-08-05,48.67877944224347
2013-08-06,16.980969572875438
2013-08-07,49.81084408043489
2013-08-08,41.886391613092655
2013-08-09,26.037486678409095
2013-08-12,27.169551316600973
2013-08-13,72.45213684426881
2013-08-14,46.41465016586017
2013-08-15,93.9613649699113
2013-08-16,65.6597490151189
2013-08-19,48.67877944224347
2013-08-20,75.84833075884444
2013-08-21,40.75432697490123
2013-08-22,39.62226233670981
2013-08-23,22.641292763833917
2013-08-26,103.01788207544541
2013-08-27,40.75432697490123
2013-08-28,71.32007220607784
2013-08-29,88.30104177895282
2013-08-30,50.94290871862677
2013-09-02,57.73529654777667
2013-09-03,91.697235693528
2013-09-04,48.67877944224301
2013-09-05,46.41465016585971
2013-09-06,39.62226233670981
2013-09-09,57.73529654777667
2013-09-10,46.41465016586017
2013-09-11,38.49019769851793
2013-09-12,29.433680592984274
2013-09-13,55.471167271392915
2013-09-16,69.05594292969363
2013-09-17,36.22606842213463
2013-09-18,33.96193914575133
2013-09-23,64.52768437692703
2013-09-24,56.60323190958525
2013-09-25,35.09400378394275
2013-09-26,27.169551316600973
2013-09-27,78.11246003522729
2013-09-30,76.98039539703586
2013-10-08,71.32007220607784
2013-10-09,24.905422040217672
2013-10-10,65.6597490151189
2013-10-11,47.54671480405159
2013-10-14,41.88639161309311
2013-10-15,91.697235693528
2013-10-16,35.09400378394275
2013-10-17,40.75432697490123
2013-10-18,30.565745231175242
2013-10-21,53.20703799501007
2013-10-22,27.169551316600973
2013-10-23,36.22606842213372
2013-10-24,40.75432697490123
2013-10-25,58.86736118596855
2013-10-28,24.905422040217218
