date,FCT_Cr_1
2020-03-30,
2020-03-31,0.07565511411665257
2020-04-01,0.031041257367387033
2020-04-02,0.05907012195121951
2020-04-03,0.03454480028787334
2020-04-07,0.05008695652173913
2020-04-08,-0.026498840675720437
2020-04-09,0.026879891119428376
2020-04-10,0.0009940357852882703
2020-04-13,0.039059913935782856
2020-04-14,0.0063714558776680474
2020-04-15,0.026590693257359924
2020-04-16,0.0067838421214924454
2020-04-17,-0.02358346094946401
2020-04-20,0.010351317440401506
2020-04-21,0.0058987891959018934
2020-04-22,-0.03425925925925926
2020-04-23,0.070629594119527
2020-04-24,0.014925373134328358
2020-04-27,0.05176470588235294
2020-04-28,-0.061241610738255035
2020-04-29,-0.011319630622579685
2020-04-30,0.022597167821633023
2020-05-06,0.013553329404832056
2020-05-07,-0.007848837209302326
2020-05-08,0.012012891883973044
2020-05-11,-0.030689056166763172
2020-05-12,-0.0017921146953405018
2020-05-13,-0.0353081986834231
2020-05-14,0.010235732009925558
2020-05-15,0.00552655818237642
2020-05-18,-0.013740458015267175
2020-05-19,0.04024767801857585
2020-05-20,0.008333333333333333
2020-05-21,-0.0014757969303423849
2020-05-22,-0.01300620750812888
2020-05-25,0.027553159628631328
2020-05-26,-0.00728650539201399
2020-05-27,-0.0026423957721667646
2020-05-28,0.010891963497203415
2020-05-29,0.0011648223645894002
2020-06-01,0.02530541012216405
2020-06-02,0.02297872340425532
2020-06-03,-0.003882418191902385
2020-06-04,-0.021158129175946547
2020-06-05,0.02161547212741752
2020-06-08,-0.011971046770601337
2020-06-09,0.009861932938856016
2020-06-10,-0.009765625
2020-06-11,-0.040293040293040296
2020-06-12,-0.017322372284204347
2020-06-15,0.007768150582611294
2020-06-16,0.026089534538986065
2020-06-17,0.005778676683039584
2020-06-18,-0.0011490950876185005
2020-06-19,0.02358354903652574
2020-06-22,-0.011801067715650464
2020-06-23,0.008245663918112028
2020-06-24,-0.0064861816130851666
2020-06-29,-0.011353959693443088
2020-06-30,0.022107378696525983
2020-07-01,-0.0050561797752808986
2020-07-02,0.017504234895539244
2020-07-03,0.005549389567147614
2020-07-06,-0.014072847682119206
2020-07-07,0.004478029666946544
2020-07-08,-0.0008358874338255781
2020-07-09,0.022587841606246516
2020-07-10,-0.011726206708481048
2020-07-13,0.05656732891832229
2020-07-14,0.003656307129798903
2020-07-15,0.011189175123601354
2020-07-16,-0.003088008234688626
2020-07-17,-0.0023231801755291687
2020-07-20,0.002328589909443726
2020-07-21,0.030459473412493547
2020-07-22,0.005761523046092184
2020-07-23,-0.0027397260273972603
2020-07-24,-0.014485514485514486
2020-07-27,-0.006842372022301064
2020-07-28,-0.007910181168665476
2020-07-29,0.011831275720164609
2020-07-30,-0.02440264361972547
2020-07-31,-0.003126628452318916
2020-08-03,0.003920543648719289
2020-08-04,0.003905233012236397
2020-08-05,0.03137966804979253
2020-08-06,0.00025144581342720644
2020-08-07,-0.007541478129713424
2020-08-10,-0.0060790273556231
2020-08-11,-0.012996941896024464
2020-08-12,0.005422153369481022
2020-08-13,-0.013610683102208527
2020-08-14,0.006769070554543088
2020-08-17,-0.0012929919834497026
2020-08-18,0.0007767995857068876
2020-08-19,-0.002328589909443726
2020-08-20,-0.07053941908713693
2020-08-21,0.005022321428571429
2020-08-24,0.000832870627429206
2020-08-25,0.001664355062413315
2020-08-26,-0.0030462475768485184
2020-08-27,0.008611111111111111
2020-08-28,0.01487193610575599
2020-08-31,-0.0032564450474898234
2020-09-01,0.002450313095562211
2020-09-02,-0.026887561108093427
2020-09-03,-0.007256488975718672
2020-09-04,0.000281135788585887
2020-09-07,-0.0070264193367060145
2020-09-08,-0.003396546844041891
2020-09-09,-0.0005680204487361545
2020-09-10,-0.027564649048025008
2020-09-11,-0.009059029807130333
2020-09-14,0.010026540843409024
2020-09-15,-0.006715328467153284
2020-09-16,0.013815402704291593
2020-09-17,-0.0005798782255726297
2020-09-18,0.034522773426167684
2020-09-21,-0.02411665731912507
2020-09-22,-0.017816091954022988
2020-09-23,0.004681100058513751
2020-09-24,-0.0049504950495049506
2020-09-25,0.026631548141644718
2020-09-28,-0.01767388825541619
2020-09-29,-0.0046430644225188625
2020-09-30,-0.004373177842565598
2020-10-09,0.0424597364568082
2020-10-12,0.03876404494382023
2020-10-13,-0.003515413737155219
2020-10-14,0.014111261872455903
2020-10-15,0.018464008563018466
2020-10-16,-0.014450867052023121
2020-10-19,-0.018928285790455877
2020-10-20,0.0008029978586724046
2020-10-21,-0.0005349023803156109
2020-10-22,0.00936580144500932
2020-10-23,0.0005302226935311791
2020-10-26,-0.00556438791732892
2020-10-27,0.0034638955502266054
2020-10-28,-0.011417950079660143
2020-10-29,0.010206822455009257
2020-10-30,0.03296995479925555
2020-11-02,0.0010296010296010653
2020-11-03,-0.020056569812291175
2020-11-04,-0.006822356336919559
2020-11-05,-0.00819022457067351
2020-11-06,0.0
2020-11-09,-0.04635055940330315
2020-11-10,-0.0053072625698324565
2020-11-11,0.0028081999438359685
2020-11-12,0.02548305796695601
2020-11-13,-0.03823047515019109
2020-11-16,0.012776831345826283
2020-11-17,0.007008690776562792
2020-11-18,0.008073496659242913
2020-11-19,-0.01019845644983474
2020-11-20,-0.030632135895293715
2020-11-23,0.0215455328928468
2020-11-24,0.0011248593925760365
2020-11-25,0.030898876404494305
2020-11-26,-0.0013623978201633984
2020-11-27,0.009549795361527846
2020-11-30,-0.0013513513513512627
2020-12-01,0.007577807848443822
2020-12-02,0.0005372011818425897
2020-12-03,-0.015302013422818683
2020-12-04,0.005725190839694609
