date,FCT_Dbcd
2014-12-09,-0.005327522916221072
2014-12-10,-0.007251480216626374
2014-12-11,-0.008725746353242686
2014-12-12,-0.009794119892411595
2014-12-15,-0.010613570889894737
2014-12-16,-0.011606984562619323
2014-12-17,-0.013139137169243429
2014-12-18,-0.01549471481117239
2014-12-19,-0.01790691208615591
2014-12-22,-0.019998986852369553
2014-12-23,-0.02156240811957032
2014-12-24,-0.021938350834342504
2014-12-25,-0.0209938837671431
2014-12-26,-0.01944152372871047
2014-12-29,-0.017389867976261644
2014-12-30,-0.014815376804599264
2014-12-31,-0.012063810203626322
2015-01-05,-0.009293488332949082
2015-01-06,-0.00661289141255011
2015-01-07,-0.004196864055493256
2015-01-08,-0.0020712030395066932
2015-01-09,-0.00018139858571068548
2015-01-12,0.0018377464093482308
2015-01-13,0.00459344373901825
2015-01-14,0.008166264470160754
2015-01-15,0.012082160879046188
2015-01-16,0.01597504648701812
2015-01-19,0.019239406971950528
2015-01-20,0.020892439578875162
2015-01-21,0.021414111345969555
2015-01-22,0.021181788743916602
2015-01-23,0.020478502825948104
2015-01-26,0.019503332957039935
2015-01-27,0.018835398769773515
2015-01-28,0.018530307884008716
2015-01-29,0.018322734706214074
2015-01-30,0.017901231609473652
2015-02-02,0.017790465632087117
2015-02-03,0.018158650758033582
2015-02-04,0.018798016104211345
2015-02-05,0.019307850952758412
2015-02-06,0.019772713443440604
2015-02-09,0.019642709860605075
2015-02-10,0.0183514288455855
2015-02-11,0.016398695770054574
2015-02-12,0.014370530589093525
2015-02-13,0.012524744706782906
2015-02-16,0.011349209516247929
2015-02-17,0.011130855120643829
2015-02-25,0.011411114603632894
2015-02-26,0.01194448959261166
2015-02-27,0.012344215353422375
2015-03-02,0.013156945001102599
2015-03-03,0.014153672436137132
2015-03-04,0.014461925547081162
2015-03-05,0.014003445296713036
2015-03-06,0.012801201212916011
2015-03-09,0.010704943562890003
2015-03-10,0.008170589345328775
2015-03-11,0.00607026056469076
2015-03-12,0.00519780999940752
2015-03-13,0.005209939620828448
2015-03-16,0.00546125441437007
2015-03-17,0.005185358581114685
2015-03-18,0.003932988205454865
2015-03-19,0.0013316698838822503
2015-03-20,-0.002193288631371946
2015-03-23,-0.006048134728971393
2015-03-24,-0.009443782429903128
2015-03-25,-0.012579680214591705
2015-03-26,-0.014823104301039992
2015-03-27,-0.01621559840434662
2015-03-30,-0.017221274025851514
2015-03-31,-0.01799171923082939
2015-04-01,-0.017981933025933726
2015-04-02,-0.01749084406522774
2015-04-03,-0.01710173051306698
2015-04-07,-0.016694648679871582
2015-04-08,-0.016096311113266447
2015-04-09,-0.015166097319909557
2015-04-10,-0.013912312427712788
2015-04-13,-0.011621787943225279
2015-04-14,-0.008492683592542948
2015-04-15,-0.004879724575909449
2015-04-16,-0.0014128799297010765
2015-04-17,0.001519979756557687
2015-04-20,0.0037318720804075515
2015-04-21,0.005212058407207887
2015-04-22,0.006419619932448969
2015-04-23,0.007414019018810866
2015-04-24,0.008242632615816156
2015-04-27,0.008591790451520736
2015-04-28,0.008662993254778857
2015-04-29,0.00846843201797228
2015-04-30,0.008108912189682424
2015-05-04,0.007621398722511557
2015-05-05,0.007442149426803291
2015-05-06,0.007374119569570256
2015-05-07,0.0067665006372646455
2015-05-08,0.005772419537362242
2015-05-11,0.004084977373163345
2015-05-12,0.0017565353792098645
2015-05-13,-0.0010712872156572373
2015-05-14,-0.0038075712623664515
2015-05-15,-0.006246233274917714
2015-05-18,-0.008114375916302378
2015-05-19,-0.00957421248821055
2015-05-20,-0.010672018751243103
2015-05-21,-0.01138968413718425
2015-05-22,-0.011962955492205812
2015-05-25,-0.01226202521671908
2015-05-26,-0.012336848255073644
2015-05-27,-0.012137561455071683
2015-05-28,-0.012227705480520901
2015-05-29,-0.012222490179094183
2015-06-01,-0.012027410244168658
2015-06-02,-0.011493147668640093
2015-06-03,-0.010243754407051256
2015-06-04,-0.008177766701500642
2015-06-05,-0.005784593919690996
2015-06-08,-0.0035576680590852184
2015-06-09,-0.0016654936845420612
2015-06-10,-0.00011989255861676188
2015-06-11,0.0012855706798667386
2015-06-12,0.0025566892855265833
2015-06-15,0.0037276500794616017
2015-06-16,0.004839782427147483
2015-06-17,0.005773762682685183
2015-06-18,0.006276811479793758
2015-06-19,0.006569691557337738
2015-06-23,0.006732094366279378
2015-06-24,0.006700804180512003
2015-06-25,0.00631001109957312
2015-06-26,0.005931856316604235
2015-06-29,0.005421320505493281
2015-06-30,0.004991390946814363
2015-07-01,0.004702805135521745
2015-07-02,0.004569275462477623
2015-07-03,0.004189809169172777
2015-07-06,0.003404244006325404
2015-07-07,0.0020596605646606043
2015-07-08,-5.424423937180779e-05
2015-07-09,-0.002380568671021612
2015-07-10,-0.004628744259238937
2015-07-13,-0.006536300470567859
2015-07-14,-0.008095787762590125
2015-07-15,-0.009020669258676431
2015-07-16,-0.009731016021763335
2015-07-17,-0.010306200493996451
2015-07-20,-0.01076682431012368
2015-07-21,-0.01121525477782029
2015-07-22,-0.01140507379130109
2015-07-23,-0.011561039028600062
2015-07-24,-0.011744028226984345
2015-07-27,-0.01223825543427818
2015-07-28,-0.012541786738559647
2015-07-29,-0.012588901558093247
2015-07-30,-0.011475298514605738
2015-07-31,-0.009356779052896991
2015-08-03,-0.00714761406779334
2015-08-04,-0.005488038085259132
2015-08-05,-0.004365993901305486
2015-08-06,-0.0044312739489045525
2015-08-07,-0.005260588422573257
2015-08-10,-0.005513135322285861
2015-08-11,-0.005062518947948985
2015-08-12,-0.004091468215173421
2015-08-13,-0.002627683481888952
2015-08-14,-0.0012688033219432368
2015-08-17,-0.0001745576604245016
2015-08-18,0.0009570620196484156
2015-08-19,0.002234491251781773
2015-08-20,0.003190618654433526
2015-08-21,0.0038224521687601418
2015-08-24,0.00327222470826485
2015-08-25,0.002225378159501851
2015-08-26,0.0011783877065700934
2015-08-27,0.000713144593783681
2015-08-28,0.0013299348772899309
2015-08-31,0.003343050619190943
2015-09-01,0.00545404832529959
2015-09-02,0.006723060955028767
2015-09-07,0.0067718038219651555
2015-09-08,0.005284995844227762
2015-09-09,0.003064873345740941
2015-09-10,0.0010442815679176296
2015-09-11,-0.00024228157667948377
2015-09-14,-0.0010252318292370984
2015-09-15,-0.0010880827094312741
2015-09-16,-0.0005901828983993723
2015-09-17,0.00037531839378146796
2015-09-18,0.0019590679018384994
2015-09-21,0.004363325226581583
2015-09-22,0.007000189360113945
2015-09-23,0.00927534068017417
2015-09-24,0.01047012056367026
2015-09-25,0.010526113549062655
2015-09-28,0.009808464811426174
2015-09-29,0.009015607431398972
2015-09-30,0.008635259310841744
2015-10-08,0.00936180429977746
2015-10-09,0.010629395125864461
2015-10-12,0.01195688612555162
2015-10-13,0.012995509014730655
2015-10-14,0.013889638860578929
2015-10-15,0.014000219060153137
2015-10-16,0.013284146058013535
2015-10-19,0.011706584452384577
2015-10-20,0.009329336782513605
2015-10-21,0.005974759860329584
2015-10-22,0.0023709997268950883
