quantile_layer,min,max,count,avg_profit
0,-0.0263881253435954,-0.0179487179487179,1143,2.975182936221035
1,-0.0179468772433595,-0.0143329658213892,2285,6.124366668469407
2,-0.0143325143325142,-0.0106928999144568,5714,8.59735308822911
3,-0.0106925880923451,-0.0076766304347824,7998,-3.119849053513657
4,-0.007676360172578,-0.0034317089910776,17140,0.22652866255385323
5,-0.0034317089910775,0.0,23318,-1.3227065721781792
6,1.1314769189406346e-16,0.0037091988130565,22388,-0.6225385911111124
7,0.0037093782759455,0.0079716563330378,17140,0.9859783882334897
8,0.007972000777756,0.0109854604200322,7998,0.9895735054867651
9,0.0109856576136711,0.0148298924105845,5714,-3.6384689524235663
10,0.0148317170564746,0.0183745583038867,2285,2.2534836151167097
11,0.0183754993342208,0.0278246205733558,1143,-8.623048893263842
