quantile_layer,min,max,count,avg_profit
0,-0.0263881253435954,-0.0179468772433595,1143,-184.8714733280058
1,-0.017946645109135,-0.0143322475570033,2286,-145.717642668239
2,-0.0143317807237549,-0.0106877323420074,5714,-109.04959762110036
3,-0.0106870229007634,-0.0076711250983477,8000,-79.55799055674593
4,-0.0076708507670849,-0.0034305317324185,17142,-45.20920068651632
5,-0.00342949364535,0.0,23321,-14.399981091993604
6,1.1314769189406346e-16,0.0037090459509584,22393,14.072702444866358
7,0.0037091988130563,0.0079664570230608,17142,45.774554632516
8,0.0079670329670329,0.0109851169383415,8000,78.21849008524542
9,0.0109854604200322,0.0148256420964711,5714,110.84483980194246
10,0.0148265819433413,0.0183745583038867,2286,145.2482465072783
11,0.0183754993342208,0.0278246205733558,1143,196.24104667146992
