quantile_layer,min,max,count,avg_profit
0,-0.2011739594450373,-0.042540443379269,1431,22.532045727665395
1,-0.0425114453891431,-0.0287221570926141,2862,8.661246154125907
2,-0.0287162162162162,-0.0176425466632576,7155,5.177625662149939
3,-0.0176423416198877,-0.0112471882029495,10016,6.761231126183368
4,-0.0112453144523114,-0.0045394519643446,21464,-1.1650466138881925
5,-0.0045391750542727,0.0,29029,-1.8503309884709473
6,1.1314769189406346e-16,0.0048380311316786,28101,-0.9277304204553141
7,0.0048381094157053,0.0115562403697995,21464,-0.23600007405026377
8,0.0115566037735849,0.0180740740740742,10016,-0.5134738032779029
9,0.0180754917597023,0.0292058894520876,7155,-4.31085599541169
10,0.0292081350064906,0.0430297671676982,2862,4.846764056227058
11,0.043039842597147,0.1699663476246665,1431,-20.73684170566957
