quantile_layer,min,max,count,avg_profit
0,-0.0263881253435954,-0.0179487179487179,1143,5.568774598371747
1,-0.0179468772433595,-0.014334115194162,2284,-2.7630153201035834
2,-0.0143329658213892,-0.0106951871657753,5711,-0.2908220033318628
3,-0.0106951871657752,-0.0076797765883173,7995,-3.26818301930091
4,-0.007679180887372,-0.0034323588590368,17132,0.9632172283280541
5,-0.003432317778635,0.0,23318,-1.766368788916557
6,1.1314769189406346e-16,0.0037085110328202,22367,-0.2442122666569249
7,0.0037086092715231,0.0079691196613123,17132,0.8090269786370943
8,0.0079691516709511,0.0109845402766476,7995,1.8365237855614711
9,0.0109845402766477,0.0148243635191749,5711,1.4301989018279122
10,0.0148247978436657,0.0183691398450602,2284,5.205493661123309
11,0.0183717992880927,0.0278246205733558,1143,8.126636442554261
