date,FCT_Demark_Atr_Dfive
2015-03-20,
2015-03-23,
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,0.20655737704918933
2015-04-03,0.4038461538461685
2015-04-07,0.37583892617450315
2015-04-08,0.667883211678831
2015-04-09,0.5191637630662048
2015-04-10,0.6594827586207003
2015-04-13,0.7920353982300982
2015-04-14,0.7405660377358543
2015-04-15,0.16949152542373425
2015-04-16,0.6212121212121126
2015-04-17,0.667774086378727
2015-04-20,0.6621621621621534
2015-04-21,0.7228915662650548
2015-04-22,0.8540925266903912
2015-04-23,0.48181818181818525
2015-04-24,0.3571428571428617
2015-04-27,0.39690721649484223
2015-04-28,0.13983050847457196
2015-04-29,0.16097560975609546
2015-04-30,0.21568627450980118
2015-05-04,0.20245398773005555
2015-05-05,0.0
2015-05-06,0.1534391534391503
2015-05-07,0.18032786885244892
2015-05-08,0.18539325842695417
2015-05-11,0.546391752577316
2015-05-12,0.9367588932806235
2015-05-13,0.9122807017543682
2015-05-14,0.9270072992700581
2015-05-15,0.9103942652329752
2015-05-18,0.5565217391304395
2015-05-19,0.25641025641026166
2015-05-20,0.25641025641026927
2015-05-21,0.0
2015-05-22,0.0
2015-05-25,0.0
2015-05-26,0.6739130434782648
2015-05-27,0.6884057971014432
2015-05-28,0.8123249299719826
2015-05-29,0.8639999999999938
2015-06-01,1.0
2015-06-02,0.6949999999999911
2015-06-03,0.7393162393162324
2015-06-04,0.597087378640771
2015-06-05,0.5808080808080752
2015-06-08,0.23560209424083955
2015-06-09,0.26706231454006735
2015-06-10,0.05787781350482668
2015-06-11,0.05099150141643375
2015-06-12,0.07458563535911328
2015-06-15,0.11344537815125583
2015-06-16,0.5144927536231806
2015-06-17,0.6094420600858309
2015-06-18,0.9736842105263089
2015-06-19,0.969879518072282
2015-06-23,0.9823529411764698
2015-06-24,0.29714285714286304
2015-06-25,0.37823834196892003
2015-06-26,0.16129032258066553
2015-06-29,0.24271844660193434
2015-06-30,0.21256038647341868
2015-07-01,0.4999999999999675
2015-07-02,0.1885245901639029
2015-07-03,0.5714285714285355
2015-07-06,0.546762589928034
2015-07-07,0.5671641791044695
2015-07-08,0.8599508599508615
2015-07-09,0.9956331877729298
2015-07-10,0.8997722095672107
2015-07-13,0.7900207900208013
2015-07-14,0.7958762886598021
2015-07-15,0.23382045929019074
2015-07-16,0.012371134020619111
2015-07-17,0.012875536480687113
2015-07-20,0.013392857142857597
2015-07-21,0.0
2015-07-22,0.044247787610628635
2015-07-23,0.08130081300814745
2015-07-24,0.1588785046729133
2015-07-27,0.5277777777777917
2015-07-28,0.871428571428605
2015-07-29,0.5930232558139532
2015-07-30,0.7499999999999796
2015-07-31,0.8385093167701729
2015-08-03,0.6737588652482003
2015-08-04,0.6827586206896338
2015-08-05,0.8333333333333213
2015-08-06,0.7765957446808486
2015-08-07,0.08035714285716926
2015-08-10,0.135416666666716
2015-08-11,0.4028776978417565
2015-08-12,0.5891089108910991
2015-08-13,0.5104357699388847
2015-08-14,0.7885746548731906
2015-08-17,0.7370416600407854
2015-08-18,0.3875860167990815
2015-08-19,0.005491689489835285
2015-08-20,0.006357031604896669
2015-08-21,0.0
2015-08-24,0.0
2015-08-25,0.012767174179594132
2015-08-26,0.027777777777799773
2015-08-27,0.6962025316455777
2015-08-28,0.7472527472527143
2015-08-31,0.9367088607594932
2015-09-01,0.9363057324840769
2015-09-02,1.0
2015-09-07,0.7460317460317589
2015-09-08,0.752577319587634
2015-09-09,0.3492063492063284
2015-09-10,0.45333333333329806
2015-09-11,0.23893805309730362
2015-09-14,0.2983425414364158
2015-09-15,0.2080924855491115
2015-09-16,0.34615384615383654
2015-09-17,0.0
2015-09-18,0.2830188679246189
2015-09-21,0.272727272727339
2015-09-22,0.2777777777778482
2015-09-23,0.22058823529417265
2015-09-24,0.3061224489796939
2015-09-25,7.674412211742184e-14
2015-09-28,0.5000000000000665
2015-09-29,0.5964912280702439
2015-09-30,0.9508196721311227
2015-10-08,0.7249999999999341
2015-10-09,0.9064039408866723
2015-10-12,0.9099526066350433
2015-10-13,0.9383116883116668
2015-10-14,0.9532019704433349
2015-10-15,1.0
2015-10-16,0.7735368956743153
2015-10-19,0.6486486486486674
2015-10-20,0.5626911314985092
2015-10-21,0.2198581560283988
2015-10-22,0.1056910569105878
2015-10-23,0.24712643678161972
2015-10-26,0.5769230769230643
2015-10-27,0.38222222222221397
2015-10-28,0.6457142857143165
2015-10-29,0.6648648648648997
2015-10-30,0.5638297872340793
2015-11-02,0.30344827586212386
2015-11-03,0.32116788321170076
2015-11-04,0.121428571428572
2015-11-05,0.0
2015-11-06,0.13846153846148257
2015-11-09,0.411392405063222
2015-11-10,0.699999999999963
2015-11-11,0.9181818181817915
2015-11-12,1.0
2015-11-13,1.0
2015-11-16,0.707142857142859
2015-11-17,0.5497101082006953
2015-11-18,0.5964549100789398
2015-11-19,0.22992255278911494
2015-11-20,0.15233556887605226
2015-11-23,0.5962183389610514
2015-11-24,0.7178238041734561
2015-11-25,0.5293006872168524
2015-11-26,0.7122066688650953
2015-11-27,0.718117419544691
2015-11-30,0.3602693602693459
2015-12-01,0.181818181818181
2015-12-02,0.3584905660377258
2015-12-03,0.1261261261261144
2015-12-04,0.12121212121211482
2015-12-07,0.14659685863873786
2015-12-08,0.13333333333332872
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,0.15748031496067486
2015-12-15,0.26190476190480744
2015-12-16,0.4516129032258329
