quantile_layer,min,max,count,avg_profit
0,-0.1075677802148494,-0.025025826404541,1431,-17.131749265091628
1,-0.0250126195117953,-0.0171291092549093,2862,-6.366874695302338
2,-0.017126578479007,-0.0111822383580133,7155,-3.2485576425913782
3,-0.0111808457484592,-0.0074262439768938,10016,0.15505713615910982
4,-0.0074260871120855,-0.003186947522498,21464,-1.0163402110814554
5,-0.0031868007711185,0.0,26956,-1.9638259549303492
6,2.0789384699779202e-07,0.0032723025658095,28122,0.9467450800921486
7,0.0032723523739034,0.0074955881045442,21464,1.9227443834774363
8,0.0074961667313423,0.0110951154150554,10016,1.4869561138399905
9,0.0110965726151826,0.0171756493153348,7155,0.8972322481587102
10,0.0171775919375004,0.024357082474611,2862,13.779883359288755
11,0.0243577605340656,0.076051232848076,1431,10.32612269958349
