date,FCT_Cr_Atr_Dfive
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,-0.015519825324551713
2015-05-04,0.12342778203252616
2015-05-05,0.013225746972773079
2015-05-06,0.001593064165163624
2015-05-07,-0.12874111358315246
2015-05-08,0.18970580028294926
2015-05-11,-0.05026761502028368
2015-05-12,-0.015880595673851396
2015-05-13,0.05473614127262924
2015-05-14,0.08037724611105969
2015-05-15,-0.12195865012021145
2015-05-18,-0.11886713171258588
2015-05-19,0.17501783206997756
2015-05-20,0.06811640888792175
2015-05-21,0.14390971864361335
2015-05-22,0.07068375043583155
2015-05-25,0.267693111871082
2015-05-26,-0.09714274000227655
2015-05-27,-0.0504764660248736
2015-05-28,0.041776951923569644
2015-05-29,-0.01643890817342579
2015-06-01,-0.05472037987267531
2015-06-02,-0.05932746548029045
2015-06-03,0.085089990631405
2015-06-04,-0.13415116694416546
2015-06-05,0.019510959154339473
2015-06-08,-0.21455267344637924
2015-06-09,-0.017677236059025898
2015-06-10,-0.057583287117041984
2015-06-11,-0.3109130180505744
2015-06-12,-0.18936224052032713
2015-06-15,0.08346210061772821
2015-06-16,0.04977439929291427
2015-06-17,-0.07108819045988399
2015-06-18,0.33341291404934636
2015-06-19,0.2337545907167094
2015-06-23,0.07034463989277888
2015-06-24,-0.05774027562150978
2015-06-25,0.10600469389137365
2015-06-26,-0.061694530207317
2015-06-29,-0.0022485034950968513
2015-06-30,0.027571335877606212
2015-07-01,0.21230933275989272
2015-07-02,-0.03236862292100044
2015-07-03,-0.021642041417970194
2015-07-06,-0.024422250636266046
2015-07-07,-0.11735324908949382
2015-07-08,-0.18257905888034015
2015-07-09,-0.08432592996345067
2015-07-10,-0.12434866636769404
2015-07-13,-0.263734267954866
2015-07-14,-0.09946264396790522
2015-07-15,-0.20571899846631875
2015-07-16,0.21015920741137847
2015-07-17,0.21415995192004894
2015-07-20,0.2047255200326581
2015-07-21,0.15962973771786654
2015-07-22,0.11937165403533827
2015-07-23,-0.2269572904191661
2015-07-24,-0.11238815575943417
2015-07-27,0.030848422087656993
2015-07-28,-0.045729291827230886
2015-07-29,0.21409677910287672
2015-07-30,0.011121043257229901
2015-07-31,-0.05611047981944737
2015-08-03,-0.20862853922780472
2015-08-04,0.06707376249851854
2015-08-05,-0.3077522279814816
2015-08-06,-0.03495939675058962
2015-08-07,0.03444666151378259
2015-08-10,0.26403985136029745
2015-08-11,-0.2452550725233897
2015-08-12,0.17498536929663674
2015-08-13,0.07732138106290534
2015-08-14,-0.06656741379834151
2015-08-17,-0.168840779043098
2015-08-18,0.6990182533690831
2015-08-19,0.13579607662072404
2015-08-20,0.05853313968436623
2015-08-21,0.22617416150680025
2015-08-24,0.07785376590856521
2015-08-25,-0.6517863845603156
2015-08-26,-0.025727174945950407
2015-08-27,0.012326123562010793
2015-08-28,-0.14896513945028284
2015-08-31,-0.014486304204406605
2015-09-01,0.251724066235194
2015-09-02,-0.10367441193109032
2015-09-07,-0.11244257339584868
2015-09-08,0.04913225212294393
2015-09-09,-0.08459298056476566
2015-09-10,-0.3104956358286897
2015-09-11,-0.2929047573606841
2015-09-14,0.2766611632162993
2015-09-15,-0.19105645773615648
2015-09-16,0.2520486277640426
2015-09-17,0.26697712183114775
2015-09-18,0.31233051529788297
2015-09-21,-0.3293614642907995
2015-09-22,0.09762165458014918
2015-09-23,-0.37550306495271446
2015-09-24,-0.18988789194156408
2015-09-25,0.1019206002533494
2015-09-28,-0.03111320826964499
2015-09-29,0.038606319602413904
2015-09-30,0.16162538913276886
2015-10-08,0.11550309646874334
2015-10-09,-0.27586039290415465
2015-10-12,0.21083695476016226
2015-10-13,0.008827173387063915
2015-10-14,0.018575610426479976
2015-10-15,0.15364723786986614
2015-10-16,0.14065285904737032
2015-10-19,-0.10114129181915724
2015-10-20,0.06283442574573517
2015-10-21,0.2690273279421481
2015-10-22,-0.1754491818851997
2015-10-23,0.024991945694988114
2015-10-26,-0.03015368901485524
2015-10-27,0.058701778693304625
2015-10-28,-0.3382935540341442
2015-10-29,0.01552366171351759
2015-10-30,-0.028595285476308935
2015-11-02,0.13068161988338955
2015-11-03,-0.26291962823934967
2015-11-04,0.24663451093402838
2015-11-05,-0.05578942091024991
2015-11-06,0.03817391042603176
2015-11-09,-0.09909879230058119
2015-11-10,0.13270751204712086
2015-11-11,-0.3761759873089222
2015-11-12,0.11661607054981006
2015-11-13,-0.10675023823212203
2015-11-16,0.12093877173203087
2015-11-17,0.18976724263959385
2015-11-18,0.23786327628592674
2015-11-19,0.025130327597171223
2015-11-20,0.05083930292650324
2015-11-23,-0.15284838634685416
2015-11-24,-0.26122820986388423
2015-11-25,-0.01348768600835025
2015-11-26,-0.1799354550305155
2015-11-27,0.5640315593448756
2015-11-30,0.09366660601398596
2015-12-01,0.12456698831536797
2015-12-02,0.10584282279454381
2015-12-03,0.13770666754366498
2015-12-04,-0.8155850639248516
2015-12-07,-0.10605258217527257
2015-12-08,-0.10226547070309791
2015-12-09,-0.31554430283349083
2015-12-10,-0.038207240832790305
2015-12-11,0.25806979050537066
2015-12-14,0.17630545660741828
2015-12-15,0.01820965965546152
2015-12-16,0.18173567933936183
2015-12-17,0.03713469335535618
2015-12-18,-0.02375239471586972
2015-12-21,-0.20262140763844047
2015-12-22,0.09211877914818518
2015-12-23,0.09540888567988691
2015-12-24,-0.0646005309031481
2015-12-25,0.03529395416300634
2015-12-28,0.3030848337872927
