date,FCT_Cr_Vol_Dfive
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,0.04935980977287541
2013-10-18,-0.2579009671026614
2013-10-21,0.9189404128650637
2013-10-22,-0.9790869946361271
2013-10-23,0.44917372107403397
2013-10-24,1.196930809700838
2013-10-25,0.09618579683632944
2013-10-28,1.3279240332905022
2013-10-29,0.27867824548364495
2013-10-30,0.21618611798106985
2013-10-31,-1.5600785761402993
2013-11-01,0.7688094102600271
2013-11-04,-2.5847108978102575
2013-11-05,0.6913515812444081
2013-11-06,-1.1242517670684267
2013-11-07,1.2632109022615716
2013-11-08,-0.5747773424611847
2013-11-11,0.10582499532167688
2013-11-12,0.08988856652185817
2013-11-13,0.17560378818198985
2013-11-14,-0.802697199193297
2013-11-15,1.1410633550833422
2013-11-18,-0.12636246020049235
2013-11-19,0.022250332774419568
2013-11-20,0.3071334595199696
2013-11-21,-0.3489331702069679
2013-11-22,0.20737663388267746
2013-11-25,0.6463113954362624
2013-11-26,1.1822640049035278
2013-11-27,-0.701516954493976
2013-11-28,0.17779876592246824
2013-11-29,-1.3756609262888544
2013-12-02,-0.019032119524390795
2013-12-03,-0.8586897494685493
2013-12-04,0.7908753265871826
2013-12-05,-0.0012819740163464988
2013-12-06,1.4805808820491901
2013-12-09,-0.21886766469232705
2013-12-10,-1.3551568469088164
2013-12-11,-0.4788211758274373
2013-12-12,1.768193717353505
2013-12-13,-1.2695258785500885
2013-12-16,-0.47715077483959656
2013-12-17,0.5845730364442977
2013-12-18,-0.009549511470452965
2013-12-19,-1.7702460472299124
2013-12-20,1.1134761601610623
2013-12-23,0.321607420527988
2013-12-24,-0.3105521588688889
2013-12-25,0.4109609177826481
2013-12-26,3.4213890723687888
2013-12-27,-1.3473556545033638
2013-12-30,-0.3387341735799981
2013-12-31,0.3706890552881671
2014-01-02,-0.09741617197724349
2014-01-03,-3.054651987461214
2014-01-06,-0.18113190517534475
2014-01-07,1.176524847431894
2014-01-08,0.4749717589591566
2014-01-09,-0.35091730799096504
2014-01-10,-0.5610853030984616
2014-01-13,0.5781355008237025
2014-01-14,-0.04346397967495863
2014-01-15,-0.3301011170646321
2014-01-16,0.04181078354307183
2014-01-17,0.4836392567959668
2014-01-20,-0.24303283363771375
2014-01-21,-0.9265084950427112
2014-01-22,-0.48798617068846895
2014-01-23,-0.2290264460015981
2014-01-24,2.270829177813618
2014-01-27,0.00870661672908864
2014-01-28,0.28174457552003285
2014-01-29,0.2850031195326373
2014-01-30,0.47466663437943946
2014-02-07,-1.8575120326217747
2014-02-10,-0.10138392411382927
2014-02-11,-0.35403814935064937
2014-02-12,0.7821279139270771
2014-02-13,-0.8702883064780459
2014-02-14,3.53937969924812
2014-02-17,11.97864442831551
2014-02-18,0.12476182016973414
2014-02-19,-0.9245126950254516
2014-02-20,2.6650450795537575
2014-02-21,-4.339957559517356
2014-02-24,-12.240044571287633
2014-02-25,0.3157534878154533
2014-02-26,4.29481666209557
2014-02-27,-2.290312238988224
2014-02-28,0.05601451162580995
2014-03-03,0.2139920537748058
2014-03-04,0.8042092323667293
2014-03-05,-4.585237390892178
2014-03-06,1.3991059438076763
2014-03-07,0.5581656317982311
2014-03-10,1.5677276251512455
2014-03-11,-1.2663813233914991
2014-03-12,0.19208167679142182
2014-03-13,-0.8898102893605816
2014-03-14,-0.25221894651843263
2014-03-17,-1.459864023016928
2014-03-18,0.2906478196654737
2014-03-19,1.7808882005915396
2014-03-20,-0.33886814453910075
2014-03-21,0.15907236250873144
2014-03-24,-0.15740741101452216
2014-03-25,0.6511272257636643
2014-03-26,-1.6028620344223912
2014-03-27,0.11575772434964271
2014-03-28,2.4908769352609643
2014-03-31,-0.3815368312840405
2014-04-01,-1.081872377663591
2014-04-02,1.4443080294844337
2014-04-03,0.6302856686914657
2014-04-04,-2.987376128093225
2014-04-08,1.4356566403267668
2014-04-09,0.04288925958679635
2014-04-10,-1.1227770014226184
2014-04-11,-0.7067054217778855
2014-04-14,3.5074144477537565
2014-04-15,-1.6865275714943018
2014-04-16,3.995784556333136
2014-04-17,-0.6976786793468404
2014-04-18,0.41927073773206613
2014-04-21,-3.1185647804794883
2014-04-22,0.9239893744532032
2014-04-23,-3.813430528112649
2014-04-24,0.9645513802559724
2014-04-25,-0.44886346494720086
2014-04-28,0.8983057143224751
2014-04-29,-0.2857490957609863
2014-04-30,0.8032911956929033
2014-05-05,-0.9335752052533135
2014-05-06,-0.2707590693788411
2014-05-07,-0.048634971935441196
2014-05-08,-0.2588825861654713
2014-05-09,-0.8686978348175309
2014-05-12,0.5218903441996172
2014-05-13,0.3778903768408894
2014-05-14,-0.8073893951358511
2014-05-15,0.7297114735115313
2014-05-16,0.7292443064182195
2014-05-19,0.5122354655780611
2014-05-20,-0.1165671560035057
2014-05-21,3.381347794549411
2014-05-22,-0.9211895365145634
2014-05-23,-0.9244956630306217
2014-05-26,0.4147083560085094
2014-05-27,3.1150177862556068
2014-05-28,-3.5322546615892008
2014-05-29,0.7731364724402308
2014-05-30,0.589016471353951
2014-06-03,-1.1247875182127247
2014-06-04,-3.185751793594931
2014-06-05,-0.1379815475422988
2014-06-06,-0.10737596559687823
2014-06-09,1.2278587324257766
2014-06-10,0.193901851305118
2014-06-11,0.6121877144979455
2014-06-12,-0.3604908637564661
2014-06-13,3.4332863751051304
2014-06-16,-1.816505215176754
2014-06-17,-0.46054123110835354
2014-06-18,-0.2457366315409676
2014-06-19,1.462110854688702
2014-06-20,-3.721383754986618
