quantile_layer,min,max,count,avg_profit
0,0.0,0.0967912000792785,3423,-2.9752022997563796
1,0.0968107495548,0.2160403151905807,7155,-1.1779281968045678
2,0.2160432798168482,0.3021645021645022,10016,-2.0957406998308135
3,0.3021712013534762,0.4052800291887102,21464,-0.8802375920867122
4,0.4052867932231067,0.4937906404163021,28619,-1.1795807760030204
5,0.4937925150977706,0.5782675997449986,28619,-1.0436903725215254
6,0.5782699397249803,0.6730004834291239,21464,-0.5450155696527026
7,0.6730188814832114,0.7499477364056584,10016,6.380013404118005
8,0.7499499261874912,0.8555585609954017,7155,5.272341199327078
9,0.855568276969873,0.9495754325480432,2862,7.339937254561644
10,0.9496103628736996,1.0,1431,9.6425169400986
