date,FCT_Cr_Ref_1
2010-01-04,
2010-01-05,
2010-01-06,0.002218387971407252
2010-01-07,0.021642892277422585
2010-01-08,-0.02648050072219538
2010-01-11,-0.015578635014836991
2010-01-12,0.012559658377292298
2010-01-13,-0.006698089804018938
2010-01-14,-0.023726273726273804
2010-01-15,0.002558199027884516
2010-01-18,-0.0010206685378923324
2010-01-19,-0.001532567049808562
2010-01-20,0.002558199027884516
2010-01-21,-0.014799693799438591
2010-01-22,0.010360010360010375
2010-01-25,-0.00307613432453221
2010-01-26,0.0056569812291076965
2010-01-27,-0.00664791613398105
2010-01-28,0.00952380952380953
2010-01-29,-0.01504334523202444
2010-02-01,-0.0025886616619208193
2010-02-02,-0.02206073189722299
2010-02-03,-0.008757961783439601
2010-02-04,0.012583668005355032
2010-02-05,-0.0071390798519302846
2010-02-08,0.007989347536617824
2010-02-09,0.0071334214002641725
2010-02-10,-0.0007869884575026332
2010-02-11,-0.01050144394854294
2010-02-12,0.007694348633589791
2010-02-22,-0.005792522380200061
2010-02-23,0.011387711864406687
2010-02-24,0.014401675831369535
2010-02-25,-0.0041300980898295704
2010-02-26,-0.005184033177812403
2010-03-01,-0.002084418968212637
2010-03-02,0.013838120104438818
2010-03-03,-0.0025753283543653283
2010-03-04,0.004905757810482892
2010-03-05,-0.014902363823227205
2010-03-08,0.0002608242044861796
2010-03-09,0.0018252933507171027
2010-03-10,0.0007808433107756475
2010-03-11,-0.0023407022106633445
2010-03-12,0.003649635036496513
2010-03-15,-0.010389610389610405
2010-03-16,-0.0026246719160105316
2010-03-17,0.010000000000000009
2010-03-18,0.002084418968212637
2010-03-19,-0.0028601144045762193
2010-03-22,0.006779661016949238
2010-03-23,0.002331002331002245
2010-03-24,0.0
2010-03-25,-0.0031007751937983737
2010-03-26,0.001036806635562596
2010-03-29,-0.002330398757120807
2010-03-30,0.004152608357124256
2010-03-31,0.006203153269578781
2010-04-01,-0.0012843565373749058
2010-04-02,-0.005144032921810536
2010-04-06,0.0025853154084797517
2010-04-07,-0.0007735946364105307
2010-04-08,0.004903225806451675
2010-04-09,-0.002824858757062068
2010-04-12,0.002060262683492171
2010-04-13,0.004369056797738196
2010-04-14,-0.0010235414534287628
2010-04-15,-0.0005122950819673336
2010-04-16,-0.002562788313685208
2010-04-19,0.002312435765673205
2010-04-20,-0.007433991284286174
2010-04-21,0.004907024793388607
2010-04-22,0.0005140066820867592
2010-04-23,0.0015412278448497497
2010-04-26,0.0027631248430042585
2010-04-27,-0.0005010020040079621
2010-04-28,-0.004260651629072736
2010-04-29,-0.006040775232821468
2010-04-30,0.0010129146619396224
2010-05-04,0.008854034910194814
2010-05-05,-0.005767301905717272
2010-05-06,0.015384615384615509
2010-05-07,-0.012170889220069536
2010-05-10,-0.016595423686195553
2010-05-11,0.011250319611352547
2010-05-12,-0.006826801517067016
2010-05-13,0.007637474541751515
2010-05-14,-0.0005053057099544681
2010-05-17,-0.008341759352881662
2010-05-18,-0.020392556716798373
2010-05-19,0.0067655477491542874
2010-05-20,-0.009821659343499612
2010-05-21,0.004176455233620489
2010-05-24,0.006498570314530753
2010-05-25,0.0036157024793388058
2010-05-26,-0.010293360782295247
2010-05-27,0.007280291211648272
2010-05-28,-0.0005162622612286486
2010-05-31,-0.0010330578512396755
2010-06-01,-0.00930713547052746
2010-06-02,-0.005480167014613604
2010-06-03,0.004198373130411871
2010-06-04,0.0007839038411287965
2010-06-07,0.003133159268929404
2010-06-08,-0.013794898490369476
2010-06-09,0.004750593824227997
2010-06-10,-0.002889414236931955
2010-06-11,0.0010537407797681832
2010-06-17,-0.0013157894736841287
2010-06-18,0.007378129117259476
2010-06-21,0.001831022756997104
2010-06-22,0.01357702349869448
2010-06-23,-0.0030911901081917895
2010-06-24,-0.0018087855297156267
2010-06-25,-0.001035464664768321
2010-06-28,-0.0033687483804092466
2010-06-29,0.002080083203328027
2010-06-30,-0.0020757654385053434
2010-07-01,-0.006240249609984554
2010-07-02,-0.00209314495028782
2010-07-05,0.0049816465652859085
2010-07-06,-0.0031307070180017025
2010-07-07,-0.003402250719706695
2010-07-08,0.0007878151260503949
2010-07-09,0.009183941222776198
2010-07-12,0.0033801352054080294
2010-07-13,-0.002332210417206456
2010-07-14,-0.004675324675324762
2010-07-15,0.00339248434237989
2010-07-16,0.0010403120936283313
2010-07-19,0.007794232268121459
2010-07-20,0.0
2010-07-21,0.0005155968032998813
2010-07-22,-0.002061324400927608
2010-07-23,-0.003791708796764382
2010-07-26,0.004567368688150231
2010-07-27,0.0032836574892648723
2010-07-28,-0.01258811681772398
2010-07-29,0.0035696073431922474
2010-07-30,0.004065040650406452
2010-08-02,0.006325910931174045
2010-08-03,0.017601206939904444
2010-08-04,-0.011613540894489849
2010-08-05,0.005500000000000264
2010-08-06,-0.012182993535554503
2010-08-09,0.008557764913163936
2010-08-10,0.015472922385824766
2010-08-11,-0.010321946424182955
2010-08-12,-0.0009932952570152792
2010-08-13,0.0034799900571713797
2010-08-16,0.016348773841961945
2010-08-17,0.010236412381184494
2010-08-18,-0.0024125452352232553
2010-08-19,-0.007255139056831872
2010-08-20,-0.0036540803897686623
2010-08-23,-0.017114914425427754
2010-08-24,-0.000497512437811011
2010-08-25,-0.005226480836236874
2010-08-26,-0.0040030022516888315
2010-08-27,0.007284601858829529
2010-08-30,0.003990024937655809
2010-08-31,0.008196721311475398
2010-09-01,-0.01699926090169983
2010-09-02,0.0030075187969924133
2010-09-03,-0.0009995002498750787
2010-09-06,0.008754377188594236
2010-09-07,0.009422266303000344
