date,FCT_Dbcd
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,0.012104211096183325
2010-03-09,0.011071134037531108
2010-03-10,0.009758298028297408
2010-03-11,0.008426534244874615
2010-03-12,0.007323468610127113
2010-03-15,0.006016795508361485
2010-03-16,0.004320517679276338
2010-03-17,0.0024588623379668824
2010-03-18,0.0006850976285696231
2010-03-19,-0.0007561747280086812
2010-03-22,-0.0015608698980876276
2010-03-23,-0.0019368513332046837
2010-03-24,-0.002122140929930861
2010-03-25,-0.0023108295183836246
2010-03-26,-0.0025105273561364877
2010-03-29,-0.0024402415132348107
2010-03-30,-0.0022049155790424164
2010-03-31,-0.002027491871042051
2010-04-01,-0.001739056182769487
2010-04-02,-0.0014736610770549811
2010-04-06,-0.0014079082982595662
2010-04-07,-0.0010504174499781963
2010-04-08,-9.097023612919747e-05
2010-04-09,0.0012807019829200964
2010-04-12,0.0027159679802230183
2010-04-13,0.0037566958777409515
2010-04-14,0.0040599616694981765
2010-04-15,0.0037947880363868405
2010-04-16,0.003115543406828395
2010-04-19,0.0022702239711765958
2010-04-20,0.0016203012520095243
2010-04-21,0.0010819022652637593
2010-04-22,0.000540112920449598
2010-04-23,0.0002778873085838741
2010-04-26,0.0003212134216687154
2010-04-27,0.0003982206292158421
2010-04-28,0.0005362053791245168
2010-04-29,0.0005043128805759387
2010-04-30,-9.444603568988232e-05
2010-05-04,-0.001176937654431819
2010-05-05,-0.0024316412190123664
2010-05-06,-0.003598098861265228
2010-05-07,-0.00430187291421721
2010-05-10,-0.004684537850012455
2010-05-11,-0.005002616427857628
2010-05-12,-0.005342039243352055
2010-05-13,-0.005693200596151641
2010-05-14,-0.006236785215028966
2010-05-17,-0.007000825787411566
2010-05-18,-0.007679967391439085
2010-05-19,-0.00835945141172509
2010-05-20,-0.008786340176326207
2010-05-21,-0.008861513823481562
2010-05-24,-0.008168117945237191
2010-05-25,-0.007016464604552228
2010-05-26,-0.005548581470782035
2010-05-27,-0.0039645422454662686
2010-05-28,-0.002460135697042707
2010-05-31,-0.0014199327327273697
2010-06-01,-0.0009638195667431331
2010-06-02,-0.0007194883644534703
2010-06-03,-0.0005621680016959887
2010-06-04,-0.00043757858602054155
2010-06-07,-0.000520893520794986
2010-06-08,0.00011134681557629003
2010-06-09,0.0013614666540280062
2010-06-10,0.002710213300258358
2010-06-11,0.003942186890859628
2010-06-17,0.005055326982706137
2010-06-18,0.0051896814226402585
2010-06-21,0.004593678702099658
2010-06-22,0.0036419354613561857
2010-06-23,0.00241298575586463
2010-06-24,0.0012482357057376481
2010-06-25,0.00039085700384415773
2010-06-28,-8.27757356767238e-05
2010-06-29,-9.188168877580821e-05
2010-06-30,0.0002552423250774578
2010-07-01,0.0006215010824326083
2010-07-02,0.0015281141835565934
2010-07-05,0.002571826496680409
2010-07-06,0.002763751314517229
2010-07-07,0.002441320507670027
2010-07-08,0.0019810749646787355
2010-07-09,0.0011189411148241509
2010-07-12,2.5210822798736402e-05
2010-07-13,-0.0005765009327801766
2010-07-14,-0.0010430574348339098
2010-07-15,-0.0012822054852724973
2010-07-16,-0.0013949962350869776
2010-07-19,-0.0014809366873207346
2010-07-20,-0.001319530183572891
2010-07-21,-0.0008799725250315034
2010-07-22,-0.00020486238353192718
2010-07-23,0.0008403415967307533
2010-07-26,0.002090844858623234
2010-07-27,0.0027179774138838446
2010-07-28,0.003357417612931274
2010-07-29,0.004097348100439521
2010-07-30,0.004719350288113614
2010-08-02,0.005385670695409927
2010-08-03,0.006490663072075309
2010-08-04,0.007504397375817368
2010-08-05,0.008426410829720826
2010-08-06,0.009197209349735062
2010-08-09,0.00988986394182558
2010-08-10,0.010646351241085848
2010-08-11,0.011233188974200092
2010-08-12,0.011249509452936604
2010-08-13,0.01072995198233399
2010-08-16,0.009537939622760793
2010-08-17,0.007662696020570165
2010-08-18,0.005702089491316998
2010-08-19,0.0040804862893145935
2010-08-20,0.002503860347196447
2010-08-23,0.0009195311093545746
2010-08-24,-0.0006019950810465938
2010-08-25,-0.001978389417789779
2010-08-26,-0.0031752171519657327
2010-08-27,-0.0038867384675530777
2010-08-30,-0.004050573339905769
2010-08-31,-0.0041243039916214865
2010-09-01,-0.004375321636374183
2010-09-02,-0.004745492191284792
2010-09-03,-0.005030526773503038
2010-09-06,-0.005111540309292907
2010-09-07,-0.004684857818424449
2010-09-08,-0.003807816512048169
2010-09-09,-0.002856364737481301
2010-09-10,-0.002144039903348357
2010-09-13,-0.0015670164582808194
2010-09-14,-0.0007711260555259373
2010-09-15,0.00026426380557274234
2010-09-16,0.0015938890823189015
2010-09-17,0.0027842373868583793
2010-09-20,0.0036062780839380645
2010-09-21,0.0038878649524709463
2010-09-27,0.004079615059943949
2010-09-28,0.004371747360444991
2010-09-29,0.004854904461448409
2010-09-30,0.005393749026304328
2010-10-08,0.005826276106273444
2010-10-11,0.005877564639688434
2010-10-12,0.005358122448306806
2010-10-13,0.004846049188770046
